,Type,Fund,Institution,City,State,Country,Grant,Purpose,year,currency,grant_sum,conversion_rate,usd
26,Social Services,United Restitution Organization,CASIP - COJASOR,Paris,,France," €11,710",Toward on-going social assistance or emergency short-term grants in Paris and the rest of France,2017,EUR,11710,0.887,13201.803833145434
27,Social Services,Successor Organization,Central Board of Jewish Communities in Greece,Athens,,Greece," €318,208",Toward emergency assistance for vulnerable Jewish Nazi victims,2017,EUR,318208,0.887,358746.3359639233
28,"Education, Documentation and Research",Successor Organization,Central Europe Center for Research and Documentation,Vienna,,Austria," €3,661","Toward the Centropa Balkan Seminars: Skopje and Zagreb,"" for a minimum of 80 European educators",2017,EUR,3661,0.887,4127.395715896279
29,"Education, Documentation and Research",Successor Organization,Central Europe Center for Research and Documentation,Vienna,,Austria," €12,603",Toward two educator training programs in Lithuania,2017,EUR,12603,0.887,14208.568207440812
30,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,Central Jewish Social Work,Antwerp,,Belgium," €2,922",Toward emergency assistance for vulnerable Jewish Austrian Nazi victims,2017,EUR,2922,0.887,3294.250281848929
31,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,Central Jewish Social Work,Antwerp,,Belgium," €8,766",Toward emergency assistance for vulnerable Jewish Austrian Nazi victims,2017,EUR,8766,0.887,9882.750845546787
32,Social Services,German Government,Central Jewish Social Work,Antwerp,,Belgium," €273,236",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,273236,0.887,308045.09582863585
33,Social Services,German Government,Central Jewish Welfare Commission,Warsaw,,Poland," €1,084,973",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1084973,0.887,1223193.9120631341
34,Social Services,German Government,Central Union of Jewish Religious Communities in the Slovak Republic,Bratislava,,Slovakia," €1,700,000",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1700000,0.887,1916572.7170236753
35,"Education, Documentation and Research",Successor Organization,Centre for Information and Documentation on Israel,The Hague,,Netherlands," €9,869","Toward the World War II and Shoah Education Project, including a seminar at Yad Vashem for a minimum of 25 teachers",2017,EUR,9869,0.887,11126.268320180383
36,Social Services,Successor Organization,Centropa Alapítvány,Budapest,,Hungary," €4,878",Toward the Budapest Café Centropa socialization program for Jewish Nazi victims,2017,EUR,4878,0.887,5499.436302142052
37,Social Services,Successor Organization,Child Survivors Deutschland,Berlin,,Germany," €7,709",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,7709,0.887,8691.093573844419
38,"Education, Documentation and Research",Successor Organization,Doc.Eye Film,Amsterdam,,Netherlands," €9,000",Toward the research and development of Vasilys Crusade,2017,EUR,9000,0.887,10146.561443066515
39,Social Services,Successor Organization,ESRA,Vienna,,Austria," €7,480",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,7480,0.887,8432.919954904171
40,Social Services,German Government,Federation of Jewish Communities in Czech Republic,Prague,,Czech Republic," €1,500,000",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1500000,0.887,1691093.5738444193
41,Social Services,German Government,Federation of Jewish Communities in Serbia,Belgrade,,Serbia," €756,268",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,756268,0.887,852613.3032694475
42,Social Services,German Government,Federation of Jewish Communities of Romania (FEDROM),Bucharest,,Romania," €3,695,049",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,3695049,0.887,4165782.412626832
43,Social Services,Successor Organization,Hidden Child Organization Slovakia,Bratislava,,Slovakia," €9,700",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,9700,0.887,10935.738444193912
44,Social Services,Successor Organization,Hidden Child Prague,Prague,,Czech Republic," €4,850",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,4850,0.887,5467.869222096956
45,"Education, Documentation and Research",Successor Organization,Holocaust Educational Trust of Ireland,Dublin,,Ireland," €15,108","Toward the Certificate in Holocaust Education program in Ireland, Poland and Israel, for a minimum of 11 educators continuing to the Yad Vashem portion of the program",2017,EUR,15108,0.887,17032.694475760993
46,Social Services,German Government,Hungarian Jewish Social Support Foundation,Budapest,,Hungary," €15,992,777",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,15992777,0.887,18030188.275084555
47,Social Services,Successor Organization,Israelitische Gemeinde Würzburg,Würzburg,,Germany," €6,333",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,6333,0.887,7139.797068771139
48,Social Services,Successor Organization,Israelitische Kultusgemeinde Lörrach,Lörrach,,Germany," €6,889",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,6889,0.887,7766.62908680947
49,Social Services,Successor Organization,Israelitische Kultusgemeinde München und Oberbayern K.d.ö.R.,Munich,,Germany," €19,478",Toward the socialization program and the provision of case management for vulnerable Jewish Nazi victims,2017,EUR,19478,0.887,21959.413754227735
50,Social Services,Successor Organization,Jewish Community Belgrade,Belgrade,,Serbia," €40,925",Toward the food program for vulnerable Jewish Nazi victims,2017,EUR,40925,0.887,46138.66967305524
51,Social Services,Successor Organization,Jewish Community of Amsterdam (Joodse Gemeente Amsterdam),"Amsterdam, Holland",,Netherlands," €3,864",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,3864,0.887,4356.257046223224
52,Social Services,German Government,Jewish Community of Estonia,Tallinn,,Estonia," €967,556",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,967556,0.887,1090818.4892897408
53,Social Services,Successor Organization,Jewish Community of Gothenburg,Gothenburg,,Sweden," €25,678",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,25678,0.887,28949.267192784668
54,Social Services,Successor Organization,Jewish Community of Hamburg,Hamburg,,Germany," €17,706",Toward the socialization program and case management for vulnerable Jewish Nazi victims,2017,EUR,17706,0.887,19961.668545659526
55,Social Services,Successor Organization,Jewish Community of Malmo,Malmo,,Sweden," €34,005",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,34005,0.887,38337.09131905299
56,Social Services,German Government,Jewish Community of Milan,Milan,,Italy," €175,946",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,175946,0.887,198360.7666290868
57,Social Services,Successor Organization,Jewish Community of Offenbach,Offenbach,,Germany," €6,000",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,6000,0.887,6764.374295377677
58,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,Jewish Community of Stockholm,Stockholm,,Sweden," €18,398",Toward emergency assistance services for vulnerable Jewish Austrian Nazi victims,2017,EUR,18398,0.887,20741.826381059753
59,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,Jewish Community of Stockholm,Stockholm,,Sweden, €733,Toward administrative expenses,2017,EUR,733,0.887,826.3810597519729
60,Social Services,German Government,Jewish Community of Stockholm,Stockholm,,Sweden," €141,526",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,141526,0.887,159555.80608793686
61,Social Services,German Government,Jewish Community Zagreb,Zagreb,,Croatia," €631,839",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,631839,0.887,712332.5817361894
62,Social Services,Successor Organization,Jewish Community Zagreb,Zagreb,,Croatia," €28,500",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,28500,0.887,32130.777903043967
63,Social Services,German Government,Jewish Social Service Agency of Rome,Rome,,Italy," €697,354",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,697354,0.887,786193.9120631341
64,Social Services,Successor Organization,Jüdische Gemeinde der Stadt Potsdam e.V.,Potsdam,,Germany," €5,562",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,5562,0.887,6270.574971815107
65,Social Services,Successor Organization,Jüdische Gemeinde Kiel e.V.,Kiel,,Germany," €2,222",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,2222,0.887,2505.073280721533
66,Social Services,Successor Organization,Jüdische Gemeinde Mönchengladbach,Mönchengladbach,,Germany," €12,172",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,12172,0.887,13722.660653889516
67,Social Services,Successor Organization,Jüdische Gemeinde zu Berlin,Berlin,,Germany," €60,000",Toward the socialization program and case management for vulnerable Jewish Nazi victims,2017,EUR,60000,0.887,67643.74295377677
68,Social Services,Successor Organization,Jüdische Kultusgemeinde Wuppertal K.d.ö.R.,Wuppertal,,Germany," €6,560",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,6560,0.887,7395.715896279594
69,Social Services,German Government,La Benevolencija,Sarajevo,,Bosnia-Herzegovina," €620,314",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,620314,0.887,699339.3461104848
70,Social Services,German Government,Latvian Council of Jewish Communities,Riga,,Latvia," €2,118,268",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,2118268,0.887,2388126.2683201805
71,"Education, Documentation and Research",Successor Organization,Les Films dIci,Paris,,France," €22,500",Toward the production of Familienlager,2017,EUR,22500,0.887,25366.403607666292
72,Social Services,Successor Organization,Liberal Jewish Community of Amsterdam,Amsterdam,,Netherlands," €3,864",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,3864,0.887,4356.257046223224
73,Social Services,Successor Organization,Liberale Jüdische Gemeinde Hannover K.d.ö.R.,Hannover,,Germany," €7,698",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,7698,0.887,8678.69222096956
74,Social Services,German Government,Lithuanian Jewish Community,Vilnius,,Lithuania," €1,066,673",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,1066673,0.887,1202562.5704622322
75,"Education, Documentation and Research",Successor Organization,Mémorial de la Shoah,Paris,,France," €13,263",Toward cataloging and digitizing archive collections of the Memorial de la Shoah Center of Contemporary Jewish Documentation,2017,EUR,13263,0.887,14952.649379932356
76,"Education, Documentation and Research",Successor Organization,Mémorial de la Shoah,Paris,,France," €61,498","Toward Holocaust seminars and teacher training sessions, for participants from the Balkans and Eastern Europe",2017,EUR,61498,0.887,69332.5817361894
77,"Education, Documentation and Research",Successor Organization,Mémorial de la Shoah,Paris,,France," €33,600","Toward the digitization project entitled Citizenship, Remembrance and History",2017,EUR,33600,0.887,37880.49605411499
78,"Education, Documentation and Research",Successor Organization,Milan Simecka Foundation,Bratislava,,Slovakia," €4,667","Toward the travelling exhibition ""Anne Frank - History for Today""",2017,EUR,4667,0.887,5261.555806087937
79,"Education, Documentation and Research",Successor Organization,Milan Simecka Foundation,Bratislava,,Slovakia," €4,375","Toward the online project E-Learning Course: Teaching about the Holocaust for Teachers""",2017,EUR,4375,0.887,4932.356257046224
80,Social Services,Successor Organization,Oeuvre de Secours aux Enfants,Paris,,France," €5,000",Toward the Café Europa program for Jewish Nazi victims,2017,EUR,5000,0.887,5636.978579481398
81,Social Services,German Government,"Organization of Jews in Bulgaria ""Shalom""",Sofia,,Bulgaria," €2,222,577",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,2222577,0.887,2505723.788049605
82,"Education, Documentation and Research",Successor Organization,Pagoda Productions,Beit Yehoshua,,Israel," €16,593",Toward the production of Love It Was Not,2017,EUR,16593,0.887,18706.877113866965
83,"Education, Documentation and Research",Successor Organization,Perfect Shot Films,Berlin,,Germany," €8,750",Toward the post-production of Verdict,2017,EUR,8750,0.887,9864.712514092447
84,Social Services,Austrian Holocaust Survivors Emergency Assistance Program,Service Social Juif,Brussels,,Belgium," €14,997",Toward emergency assistance services for vulnerable Jewish Austrian Nazi victims,2017,EUR,14997,0.887,16907.553551296503
85,Social Services,German Government,Service Social Juif,Brussels,,Belgium," €942,666",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,942666,0.887,1062757.6099210824
86,Social Services,German Government,Stichting Joods Maatschappelijk Werk/Dutch Jewish Social Services,Amsterdam,,Netherlands," €540,428",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,540428,0.887,609276.2119503946
87,Social Services,Successor Organization,Stichting Joods Maatschappelijk Werk/Dutch Jewish Social Services,Amsterdam,,Netherlands," €20,000",Toward case management and outreach to expand services outside of Amsterdam,2017,EUR,20000,0.887,22547.91431792559
88,Social Services,German Government,Swiss Jewish Welfare Organization,Zurich,,Switzerland," €457,074",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,457074,0.887,515303.2694475761
89,Social Services,Successor Organization,The Jewish Community in Denmark,Copenhagen,,Denmark," €36,803",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,36803,0.887,41491.54453213078
90,Social Services,German Government,Union of Italian Jewish Communities,Rome,,Italy," €471,306",Toward social welfare services for vulnerable Jewish Nazi victims,2017,EUR,471306,0.887,531348.365276212
91,Social Services,Successor Organization,Zentralwohlfahrtsstelle der Juden in Deutschland e.V.,Frankfurt am Main,,Germany," €259,481",Toward  case management program and the Treffpunkt program for vulnerable Jewish Nazi victims,2017,EUR,259481,0.887,292537.7677564825
92,Social Services,German Government,Association of Jewish Refugees in Great Britain,London,,United Kingdom,"£5,123,101",Toward social welfare services for vulnerable Jewish Nazi victims throughout the United Kingdom,2017,GBP,5123101,0.777,6593437.58043758
93,Social Services,United Restitution Organization,Association of Jews from Central Europe,Tel Aviv,,Israel,"£680,000",Toward on-going social assistance or emergency short-term grants in Israel,2017,GBP,680000,0.777,875160.8751608751
94,Social Services,Successor Organization,"""Brat"" Sherut Makif Lazaken BeKarmiel",Karmiel,,Israel,"ILS 135,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,135000,3.6,37500.0
95,Social Services,Successor Organization,"""Brat"" Sherut Makif Lazaken BeKarmiel",Karmiel,,Israel,"ILS 34,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,34000,3.6,9444.444444444443
96,Social Services,Successor Organization,"""Hameyasdim"" - Association for the Aged - Emek Hayarden",Jordan Valley,,Israel,"ILS 40,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,40000,3.6,11111.111111111111
97,Social Services,Successor Organization,"""Hameyasdim"" - Association for the Aged - Emek Hayarden",Jordan Valley,,Israel,"ILS 10,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,10000,3.6,2777.777777777778
98,Social Services,Successor Organization,"""Hameyasdim"" - Association for the Aged/Be'er Tuvia Regional Council",Be'er Tuvia,,Israel,"ILS 95,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,95000,3.6,26388.888888888887
99,Social Services,Successor Organization,"""Hameyasdim"" - Association for the Aged/Be'er Tuvia Regional Council",Be'er Tuvia,,Israel,"ILS 18,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,18000,3.6,5000.0
100,Social Services,Successor Organization,Aguda Lema'an Hakashish Lachish,Nehora,,Israel,"ILS 40,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,40000,3.6,11111.111111111111
101,Social Services,Successor Organization,Aguda Lema'an Hakashish Lachish,Nehora,,Israel,"ILS 17,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,17000,3.6,4722.222222222222
102,Social Services,Successor Organization,Agudah Lemaan Hazaken in Bnei Brak,Bnei Brak,,Israel,"ILS 130,000 ",Toward defraying the cost for Jewish Nazi victims who attend the day center(s),2017,ILS,130000,3.6,36111.11111111111
103,Social Services,Successor Organization,Agudah Lemaan Hazaken in Bnei Brak,Bnei Brak,,Israel,"ILS 6,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,6000,3.6,1666.6666666666665
104,Social Services,Successor Organization,Agudat Beit Avraham,Petach Tikvah,,Israel,"ILS 190,059 ",Toward the food program for Jewish Nazi victims,2017,ILS,190059,3.6,52794.166666666664
105,"Education, Documentation and Research",Successor Organization,Agudat Beit Yaacov,Tel Aviv,,Israel,"ILS 128,000 ",Toward the Holocaust teacher training courses,2017,ILS,128000,3.6,35555.555555555555
106,"Education, Documentation and Research",Successor Organization,Agudat Mitpaleley Beit-Knesset Struma Meyasdey Museum Struma,Beer Sheva,,Israel,"ILS 14,250 ",Toward student and soldier visits,2017,ILS,14250,3.6,3958.333333333333
107,Social Services,Successor Organization,Aleh - Association for Senior Citizens Kiryat Ono,Kiryat Ono,,Israel,"ILS 50,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,50000,3.6,13888.888888888889
108,Social Services,Successor Organization,Aleh - Association for Senior Citizens Kiryat Ono,Kiryat Ono,,Israel,"ILS 6,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,6000,3.6,1666.6666666666665
109,Social Services,Successor Organization,ALEH Association for the Elderly - Rehovot,Rehovot,,Israel,"ILS 125,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,125000,3.6,34722.22222222222
110,Social Services,Successor Organization,ALEH Association for the Elderly - Rehovot,Rehovot,,Israel,"ILS 25,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,25000,3.6,6944.444444444444
111,Social Services,Successor Organization,Aleh-Hertzliya,Herzelia,,Israel,"ILS 70,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,70000,3.6,19444.444444444445
112,Social Services,Successor Organization,Aleh-Hertzliya,Herzelia,,Israel,"ILS 12,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,12000,3.6,3333.333333333333
113,Social Services,Successor Organization,ALKA - Association for the Elderly,Ashkelon,,Israel,"ILS 87,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,87000,3.6,24166.666666666668
114,Social Services,Successor Organization,Amal Siudit,Raanana,,Israel,"ILS 47,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,47000,3.6,13055.555555555555
115,Social Services,Successor Organization,Amal Siudit,Raanana,,Israel,"ILS 19,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,19000,3.6,5277.777777777777
116,Social Services,Successor Organization,AMCHA,Jerusalem,,Israel,"ILS 4,212,216 ","Toward treatment hours, the friendly visitation program for homebound Jewish Nazi Victims, and rent",2017,ILS,4212216,3.6,1170060.0
117,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"ILS 2,538,461",Toward the establishment of 107 sheltered housing units in Tel Aviv adjacent to the existing Derech Hashalom Sheltered Home,2017,ILS,2538461,3.6,705128.0555555555
118,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"ILS 1,920,000 ","Toward establishing 107 new units in Tel Aviv, adjacent to the existing Derech Hashalom Sheltered Home",2017,ILS,1920000,3.6,533333.3333333334
119,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"ILS 26,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victim households in Ofakim,2017,ILS,26000,3.6,7222.222222222222
120,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"ILS 56,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victim households in Ashdod,2017,ILS,56000,3.6,15555.555555555555
121,Social Services,Successor Organization,AMIGOUR,Tel-Aviv,,Israel,"ILS 120,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victim households in Sderot,2017,ILS,120000,3.6,33333.333333333336
122,Social Services,Successor Organization,AMIT - Association for the Aged,Ness Ziona,,Israel,"ILS 40,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,40000,3.6,11111.111111111111
123,Social Services,Successor Organization,AMIT - Association for the Aged,Ness Ziona,,Israel,"ILS 11,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,11000,3.6,3055.5555555555557
124,Social Services,Successor Organization,Amuta Lazaken Gilor,Mobile Post Hevel Megido,,Israel,"ILS 30,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,30000,3.6,8333.333333333334
125,Social Services,Successor Organization,Amuta Lazaken Gilor,Mobile Post Hevel Megido,,Israel,"ILS 6,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,6000,3.6,1666.6666666666665
126,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik - Hevel Yavne,Hevel Yavne,,Israel,"ILS 30,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,30000,3.6,8333.333333333334
127,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik - Hevel Yavne,Hevel Yavne,,Israel,"ILS 6,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,6000,3.6,1666.6666666666665
128,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik Dorot Zvulun,Kfar Hamacabi,,Israel,"ILS 7,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,7000,3.6,1944.4444444444443
129,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik Dorot Zvulun,Kfar Hamacabi,,Israel,"ILS 17,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,17000,3.6,4722.222222222222
130,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik Modiim,Shoham,,Israel,"ILS 33,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,33000,3.6,9166.666666666666
131,Social Services,Successor Organization,Amuta Lema'an Hachaver Havatik Modiim,Shoham,,Israel,"ILS 9,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,9000,3.6,2500.0
132,Social Services,Successor Organization,Amuta Le'maan Hakashish - Beit Shemesh,Beit Shemesh,,Israel,"ILS 75,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,75000,3.6,20833.333333333332
133,Social Services,Successor Organization,Amuta Le'maan Hakashish - Beit Shemesh,Beit Shemesh,,Israel,"ILS 15,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,15000,3.6,4166.666666666667
134,Social Services,Successor Organization,Amuta Le'maan Hakashish - Kiryat-Malachi,Kiryat-Malachi,,Israel,"ILS 30,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,30000,3.6,8333.333333333334
135,Social Services,Successor Organization,Amuta Le'maan Hakashish - Kiryat-Malachi,Kiryat-Malachi,,Israel,"ILS 8,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,8000,3.6,2222.222222222222
136,Social Services,Successor Organization,Amuta Lema'an Hakashish - Migdal Haemek,Migdal Haemek,,Israel,"ILS 90,000 ",Toward defraying the costs for Jewish Nazi victims who attend the day center(s),2017,ILS,90000,3.6,25000.0
137,Social Services,Successor Organization,Amuta Lema'an Hakashish - Migdal Haemek,Migdal Haemek,,Israel,"ILS 37,000 ",Toward defraying the supportive community membership costs for Jewish Nazi victims,2017,ILS,37000,3.6,10277.777777777777
